,GSM3319036_Ovary Normal_eHormones,GSM3319036_Ovary Normal_eStromal,GSM3319040_Ovary Normal_eStromal,GSM3319041_Ovary Normal_eHormones,GSM3319041_Ovary Normal_eStromal,GSM3319042_Ovary Normal_eStromal,GSM3319043_Ovary Normal_eHormones,GSM3319043_Ovary Normal_eStromal,GSM3557960_Ovary Normal_eStromal,GSM3557970_Ovary Normal_eStromal,GSM3557971_Ovary Normal_eHormones,GSM3557972_Ovary Normal_eHormones,GSM3557973_Ovary Normal_eHormones,GSM4568674_Fallopian Tube Normal_secretory cell,GSM4568675_Fallopian Tube Normal_ciliated epithelial cell,GSM4568675_Fallopian Tube Normal_secretory cell,GSM4568676_Fallopian Tube Normal_ciliated epithelial cell,GSM4568676_Fallopian Tube Normal_secretory cell,GSM4568677_Fallopian Tube Normal_secretory cell,GSM4568678_Fallopian Tube Normal_ciliated epithelial cell,GSM4568678_Fallopian Tube Normal_secretory cell,GSM4568679_Fallopian Tube Normal_ciliated epithelial cell,GSM4568679_Fallopian Tube Normal_secretory cell,GSM4568681_Fallopian Tube Normal_ciliated epithelial cell,GSM4568681_Fallopian Tube Normal_secretory cell,GSM4568682_Fallopian Tube Normal_ciliated epithelial cell,GSM4568682_Fallopian Tube Normal_secretory cell,GSM4568684_Fallopian Tube Normal_ciliated epithelial cell,GSM4568684_Fallopian Tube Normal_secretory cell,GSM4568685_Fallopian Tube Normal_ciliated epithelial cell,GSM4568685_Fallopian Tube Normal_secretory cell,GSM4675273_Cancer,GSM4675277_Cancer,ov_GSE184880_GSM5599224_Ovary Normal_eHormones,ov_GSE184880_GSM5599225_Cancer,ov_GSE184880_GSM5599226_Cancer,ov_GSE184880_GSM5599230_Cancer,ov_GSE184880_GSM5599231_Cancer,ov_GSE213243_GSM6576367_Cancer,pan_blue_hgstoc_SOL012_Cancer,pan_blueprint_ovary_scrSOL004_Cancer
BAG3,0.6857426,3.4716215,11.253409,0.33891466,13.977616,11.117339,0.39341632,16.704327,6.918543,5.28821,0.029864933,0.10283083,0.08641771,0.4982007,0.38371786,0.16498499,0.6822474,0.71075356,0.3767784,0.47736183,0.37047377,0.1470642,0.33968985,0.3627255,0.4390703,0.20556884,0.17983498,0.90481204,0.5070948,0.10552468,0.1219135,0.3499172,0.27891722,0.1050963,0.76349837,0.23451063,0.61255604,0.30741414,0.3816471,0.22058961,0.0
HTRA1,4.291154,1.1230845,0.3159892,0.80539066,0.34790283,1.4058369,2.9611905,1.2081424,0.25102985,0.27869996,2.921417,14.403973,1.199694,0.092632264,0.04473186,0.03745989,0.09204364,0.049197845,0.03241123,0.12965839,0.10568149,0.15551166,0.030648774,0.11084693,0.004337669,0.14864682,0.09372412,0.050223883,0.017055284,0.16568805,0.04976254,0.21163316,0.12266634,0.31672293,0.5761018,0.12064153,0.081858985,0.3662842,0.0974146,0.2077578,0.30468172
UROS,1.9001744,0.93658465,0.55819273,2.0737154,0.46145308,0.5814161,2.0365531,0.2946368,0.8118513,0.8559664,1.3337721,0.85596913,1.8157005,0.26545706,0.18368776,0.4438512,0.14996989,0.32397965,0.09145222,0.20392476,0.29678047,0.11484103,0.11939643,0.20506805,0.37940592,0.08178519,0.16546896,0.24615379,0.655557,0.15052484,0.13317214,0.78472066,1.4521807,1.1191657,0.43314633,1.0850749,0.51795524,0.58118,1.0684719,1.0803804,1.4125679
IFITM3,4.843536,3.856829,3.0840192,5.6513004,2.5531049,3.524017,3.3151577,1.8656255,6.8531456,7.5485964,7.110294,7.3329716,4.9442058,13.701183,4.5593033,14.120512,3.1361687,11.615891,14.103034,5.1593943,13.013109,4.0872736,11.604286,2.4961782,12.457699,4.064615,13.78931,2.246484,15.480573,3.0637977,12.133264,7.85924,8.299472,5.607192,8.31356,11.63054,7.6644025,17.462902,19.334795,11.996516,5.6882844
RPLP2,16.603922,17.330372,26.324894,29.851372,29.55408,27.336002,28.237225,21.888355,24.004105,18.697403,20.44468,21.002737,18.325748,50.774372,19.239956,36.424423,21.85165,56.57063,77.54479,23.87305,34.40815,24.848337,51.464745,24.086739,43.33926,24.672201,54.154896,21.91881,51.465813,27.60909,57.465355,12.067262,44.976658,25.280725,9.689837,17.58896,12.722217,18.25534,16.128077,39.463406,34.3169
RPL27A,27.21398,27.993023,39.928646,43.317142,44.112045,35.955967,39.07443,31.05073,40.059288,35.841995,34.746067,26.271053,34.027252,49.566486,21.654985,43.202354,20.352566,54.30401,59.897663,17.996876,27.085976,19.159546,36.99107,18.372608,35.201817,19.307093,43.18339,18.191505,52.73799,26.701647,61.83387,14.448442,29.652132,21.138746,7.9394965,12.870177,16.827072,24.592274,14.173523,41.31619,28.224304
ADM,1.0931742,0.252366,0.49238884,0.081339136,0.8692788,1.11741,1.7169472,1.2690569,0.42928627,0.32566485,0.090720646,3.1395419,0.05079433,0.27639282,0.33544856,0.095544115,0.5063809,0.108309515,0.044777144,0.3085567,0.19363521,0.0840339,0.117604785,0.24017358,0.09631772,0.06111316,0.041217096,0.56367916,0.066848524,0.059582878,0.008384239,2.1031342,0.10383658,2.0385706,0.17421883,1.1888171,0.4212026,0.25258467,0.25043803,0.22072735,0.4937462
CD59,2.4635332,6.785945,3.131103,1.3406712,2.8305123,4.737596,1.1797861,2.618088,6.6844144,9.129005,1.8002179,1.5519358,2.476749,0.94965756,2.3607209,1.1381766,3.2521148,1.1221862,1.3201007,2.8850365,1.267927,5.2703047,1.4021295,2.6761343,0.65424025,4.765908,1.7038423,2.8640153,0.5989045,3.0638103,0.8634029,2.115767,0.5923932,6.4173393,1.5266733,0.7396632,1.0378975,2.2421765,0.0038793099,2.8534567,0.39244142
MDK,18.90532,12.209892,6.0778947,14.743587,5.2189646,8.088767,24.598608,8.880132,7.4219403,6.8787136,14.65632,21.292469,14.745308,3.0637248,1.1945415,2.3484535,0.952813,2.9219484,0.9260076,1.5067189,3.6921303,0.35005823,1.4404368,1.0292646,2.4630039,0.44694987,2.3132336,1.0164307,2.8533623,1.2890211,2.0403285,22.174843,7.474965,0.5190583,1.2540307,0.8082836,5.556402,8.736057,7.3384447,8.136561,7.027176
MS4A8,0.0,0.0,0.019868344,0.0,0.0,0.0,0.0,0.0,0.008226816,0.0,0.0,0.0,0.0,0.020046243,2.5206685,0.037370257,4.978997,0.15659264,0.018235052,3.3845222,0.1940471,3.5465307,0.14129558,2.9315622,0.0037024196,4.02437,0.12554891,2.7753935,0.051804967,4.3386993,0.011040217,0.0,0.0,0.0,0.0075362986,0.0014539222,0.0016059638,0.040787816,0.023499288,0.0011181645,0.0
