,GSM3319036_Ovary Normal_eHormones,GSM3319036_Ovary Normal_eStromal,GSM3319040_Ovary Normal_eStromal,GSM3319041_Ovary Normal_eHormones,GSM3319041_Ovary Normal_eStromal,GSM3319042_Ovary Normal_eStromal,GSM3319043_Ovary Normal_eHormones,GSM3319043_Ovary Normal_eStromal,GSM3557960_Ovary Normal_eStromal,GSM3557970_Ovary Normal_eStromal,GSM3557971_Ovary Normal_eHormones,GSM3557972_Ovary Normal_eHormones,GSM3557973_Ovary Normal_eHormones,GSM4568674_Fallopian Tube Normal_secretory cell,GSM4568675_Fallopian Tube Normal_ciliated epithelial cell,GSM4568675_Fallopian Tube Normal_secretory cell,GSM4568676_Fallopian Tube Normal_ciliated epithelial cell,GSM4568676_Fallopian Tube Normal_secretory cell,GSM4568677_Fallopian Tube Normal_secretory cell,GSM4568678_Fallopian Tube Normal_ciliated epithelial cell,GSM4568678_Fallopian Tube Normal_secretory cell,GSM4568679_Fallopian Tube Normal_ciliated epithelial cell,GSM4568679_Fallopian Tube Normal_secretory cell,GSM4568681_Fallopian Tube Normal_ciliated epithelial cell,GSM4568681_Fallopian Tube Normal_secretory cell,GSM4568682_Fallopian Tube Normal_ciliated epithelial cell,GSM4568682_Fallopian Tube Normal_secretory cell,GSM4568684_Fallopian Tube Normal_ciliated epithelial cell,GSM4568684_Fallopian Tube Normal_secretory cell,GSM4568685_Fallopian Tube Normal_ciliated epithelial cell,GSM4568685_Fallopian Tube Normal_secretory cell,GSM4675273_Cancer,GSM4675277_Cancer,ov_GSE184880_GSM5599224_Ovary Normal_eHormones,ov_GSE184880_GSM5599225_Cancer,ov_GSE184880_GSM5599226_Cancer,ov_GSE184880_GSM5599230_Cancer,ov_GSE184880_GSM5599231_Cancer,ov_GSE213243_GSM6576367_Cancer,pan_blue_hgstoc_SOL012_Cancer,pan_blueprint_ovary_scrSOL004_Cancer
RPL31,12.420855,11.068669,30.204144,28.365929,29.345442,31.273258,29.230675,25.01432,28.301916,26.294014,33.40117,26.453741,27.964651,56.74453,22.317648,42.52532,19.52403,61.05395,74.64367,27.11372,34.75422,26.293737,44.422047,28.151361,50.25189,24.56402,53.09717,23.588919,60.9763,33.23274,78.18198,8.30564,26.403955,5.7928677,3.62466,8.534377,3.7335744,4.225543,4.125894,31.831415,45.08706
LIMS1,1.1181988,3.4880428,1.7521127,0.5868029,2.9990144,2.9697826,0.7055155,2.0414603,1.6805882,2.4033527,0.7020742,1.246194,0.48168698,1.0917895,1.6704733,0.57684433,1.1341784,0.822987,0.5624705,1.1621039,0.82134175,1.304075,0.46049857,1.2837577,0.7422088,1.2631391,0.6162763,1.4771857,0.41471562,1.5356305,0.47126257,0.5807332,0.2239773,1.0866089,0.7610827,0.87252,0.81004155,0.8403266,1.3390254,0.33064657,0.77960014
PAX8,0.0,0.0,0.0,0.0034717137,0.0,0.051472038,0.010694622,0.019723468,0.0,0.0,0.0,0.0,0.0,1.0622563,0.1852601,0.5542393,0.17254788,1.226616,1.0738436,0.2871491,1.608006,0.25307962,1.1129292,0.2525014,1.2868125,0.25707114,1.1662127,0.21118064,0.7629063,0.1293288,0.33539814,1.821362,1.0580599,0.0,1.9134315,0.7700746,1.4231845,1.3910354,3.0025425,0.90118736,1.2025816
POLR2D,0.24306077,0.097515166,0.14690349,0.36728495,0.037605315,0.086686924,0.36899105,0.05759338,0.12692691,0.1613258,0.35405758,0.3425867,0.4083407,0.09211335,0.17562015,0.10779408,0.18487541,0.10824275,0.09508118,0.11922048,0.16292642,0.1598355,0.08059698,0.20770943,0.043792427,0.1337702,0.044378303,0.13891284,0.04092679,0.20923018,0.065513276,0.1920666,0.44776812,0.259902,0.1847471,0.2626234,0.2877116,0.12609386,0.3208262,0.11585727,0.49196288
MZT2B,3.804962,2.5986195,2.502497,6.588217,2.3984845,2.3900516,4.4046683,2.3004186,2.0958042,2.3607223,4.9445086,3.0381808,4.4306993,1.9072955,1.0880017,1.6968275,1.2012539,1.9328662,0.12909147,1.6974552,2.770332,0.17974609,0.4571371,1.7834897,2.8611271,0.25385907,0.36264917,1.399393,2.895424,0.646664,0.6010295,0.87903947,3.4299188,3.204736,1.8801044,4.608657,3.4042454,1.174125,9.1822815,3.2397492,4.377422
R3HDM1,0.15384428,0.082976036,0.18848217,0.21508077,0.120087266,0.10048686,0.1993185,0.107320726,0.12805633,0.1139729,0.2145745,0.21919042,0.23315892,0.06549718,0.044681527,0.05580027,0.0542827,0.09919377,0.09932431,0.033772763,0.045528963,0.08081807,0.12572236,0.07698105,0.08002046,0.047236975,0.049653776,0.059368636,0.13880281,0.089995764,0.19627802,0.12851769,0.10610513,0.37551966,0.32858366,0.30340084,0.09642376,0.13556468,0.3973429,0.14156878,0.2556667
PRPF40A,1.0387856,1.8919843,1.8023173,1.083905,2.0427756,1.7335829,0.9432029,1.8387698,1.8243027,1.8199927,0.9806924,1.0098298,1.1456262,0.6249479,0.99400127,0.5593542,0.89677024,0.78797174,0.7620913,0.6090906,0.55396795,1.0580997,0.92041224,0.8987942,0.8267924,0.88770545,0.68080306,0.6678948,0.47854817,0.91961324,0.50378656,0.9640752,1.3193284,0.89191395,1.284694,2.226346,0.86291784,0.68334687,2.1038122,0.787089,0.96176094
GPD2,0.06895443,0.02984238,0.116916575,0.16080181,0.18838622,0.20019291,0.121210374,0.14864981,0.174225,0.1872412,0.16093962,0.21230294,0.32327977,0.519211,0.24491702,0.47799262,0.13703343,0.37676102,0.7095872,0.27871814,0.6526417,0.24774659,0.57090217,0.23814899,0.9893338,0.18770027,0.63236624,0.28200343,0.6791879,0.24285737,0.44509214,0.15922149,0.18314925,0.08052799,0.3951549,0.2372524,0.08104539,0.16692883,0.22503679,0.13210979,0.045075502
LY75,0.016969664,0.0,0.011209519,0.00522514,0.0131353885,0.038879137,0.015351021,0.05296971,0.0,0.0,0.036373477,0.026386535,0.069094576,0.030990139,0.1474712,0.029355718,0.27500254,0.06676511,0.10586149,0.49527618,0.04068352,0.51235914,0.051733576,0.42813382,0.04600001,0.40462038,0.022968013,0.4109781,0.046484847,0.28873962,0.002933134,0.06240939,0.0026116231,0.0,0.14094764,0.023408838,0.024560174,0.11674969,0.059656292,0.028347556,0.056028426
METTL8,0.1116661,0.07360581,0.090493895,0.16950011,0.04689095,0.0,0.121722005,0.099292815,0.08488544,0.11246267,0.17988014,0.1360076,0.13813424,0.08321889,0.037207298,0.06839004,0.025025444,0.058383074,0.03338924,0.02374615,0.022494245,0.032001764,0.06636249,0.01664828,0.024912171,0.056087665,0.072540216,0.040115852,0.055598684,0.0,0.13379823,0.27657267,0.039060798,0.1372447,0.28622508,0.20804814,0.07000811,0.07704512,0.23512606,0.060297217,0.13422695
